1
  0  0 -0.32078E-02
  1  0 -0.31897E-02
  1  1  0.11051E-02 -0.44433E-03
  2  0 -0.18812E-03
  2  1 -0.44890E-03  0.95769E-03
  2  2 -0.12345E-03 -0.15051E-03
  3  0 -0.84870E-04
  3  1  0.32441E-03 -0.12586E-03
  3  2  0.36917E-04  0.44043E-03
  3  3  0.10186E-03  0.16265E-03
  4  0 -0.31300E-03
  4  1  0.20807E-03 -0.22042E-03
  4  2  0.40416E-03  0.48120E-03
  4  3 -0.48010E-03 -0.16926E-03
  4  4 -0.26174E-03  0.36605E-03
  5  0  0.73234E-03
  5  1  0.16254E-03 -0.20494E-03
  5  2  0.42227E-03 -0.20006E-03
  5  3 -0.33740E-03 -0.54864E-03
  5  4 -0.93311E-03 -0.81211E-03
  5  5  0.36758E-03 -0.76725E-03
  6  0  0.82492E-04
  6  1 -0.12749E-03  0.48006E-03
  6  2  0.28389E-03  0.54137E-04
  6  3 -0.12824E-03  0.11594E-04
  6  4  0.89826E-05  0.16820E-03
  6  5  0.26614E-03  0.26860E-03
  6  6 -0.16248E-04  0.25139E-03
  7  0  0.44671E-03
  7  1 -0.14092E-03 -0.72953E-04
  7  2 -0.73732E-05  0.14625E-03
  7  3 -0.46589E-03 -0.19486E-04
  7  4  0.21655E-03  0.26520E-03
  7  5 -0.22848E-03  0.51781E-03
  7  6  0.51313E-04 -0.18245E-03
  7  7 -0.26141E-03  0.17942E-03
  8  0  0.96979E-05
  8  1 -0.27621E-03  0.40317E-05
  8  2  0.62147E-03  0.10595E-03
  8  3  0.84630E-04  0.12454E-03
  8  4 -0.21478E-03 -0.13562E-03
  8  5 -0.16834E-03  0.44196E-03
  8  6  0.20330E-03 -0.86383E-04
  8  7 -0.12713E-03  0.18243E-03
  8  8  0.30842E-03 -0.21426E-04
  9  0  0.18366E-04
  9  1 -0.12295E-03  0.84491E-04
  9  2  0.16488E-03  0.54414E-04
  9  3  0.48997E-03  0.19124E-04
  9  4  0.23570E-04  0.81512E-04
  9  5 -0.49100E-04 -0.78860E-04
  9  6  0.40793E-03  0.12218E-03
  9  7  0.81454E-05 -0.44406E-03
  9  8  0.23216E-03 -0.45164E-04
  9  9  0.13281E-03  0.10280E-03
 10  0  0.14310E-03
 10  1 -0.26050E-03  0.10615E-03
 10  2 -0.92917E-04 -0.10382E-03
 10  3  0.19825E-03  0.24063E-04
 10  4 -0.92684E-04  0.28688E-04
 10  5 -0.12798E-04 -0.17542E-04
 10  6  0.53353E-04  0.23140E-04
 10  7  0.21980E-03 -0.12944E-03
 10  8 -0.31304E-04 -0.49056E-04
 10  9 -0.46821E-04 -0.15448E-03
 10 10  0.16338E-03 -0.12829E-03
 11  0  0.15886E-03
 11  1  0.26714E-05  0.14968E-05
 11  2  0.22970E-03 -0.37734E-03
 11  3  0.19922E-03 -0.59313E-04
 11  4  0.27307E-03  0.30818E-03
 11  5  0.17368E-03  0.46219E-04
 11  6  0.38835E-04 -0.87303E-04
 11  7  0.29958E-03 -0.16024E-03
 11  8  0.52518E-05 -0.13903E-05
 11  9  0.13252E-03  0.18985E-03
 11 10 -0.26180E-03  0.57457E-04
 11 11  0.24331E-04  0.24891E-03
 12  0  0.18202E-03
 12  1  0.98559E-04  0.88272E-04
 12  2 -0.98820E-04 -0.15330E-03
 12  3  0.96650E-04  0.22192E-04
 12  4  0.18355E-03  0.24969E-03
 12  5 -0.31414E-04 -0.11230E-03
 12  6  0.11880E-03 -0.66284E-05
 12  7  0.37539E-04  0.64509E-04
 12  8  0.25309E-03 -0.17577E-03
 12  9 -0.27767E-03  0.23274E-03
 12 10 -0.16390E-03  0.26239E-03
 12 11 -0.34348E-03  0.30023E-03
 12 12  0.10790E-03 -0.19230E-03
2
  0  0  0.33360E-03
  1  0 -0.49725E-02
  1  1  0.18065E-02 -0.94442E-03
  2  0 -0.81682E-03
  2  1 -0.11603E-02  0.21908E-02
  2  2 -0.26640E-03 -0.64283E-03
  3  0 -0.14843E-03
  3  1  0.14075E-02 -0.54123E-03
  3  2 -0.64951E-04  0.11629E-02
  3  3 -0.12884E-03  0.32538E-03
  4  0 -0.20276E-02
  4  1  0.15908E-02 -0.56707E-03
  4  2  0.11561E-02  0.14492E-02
  4  3 -0.25153E-02 -0.84748E-03
  4  4 -0.61834E-03  0.13563E-02
  5  0  0.25619E-02
  5  1  0.65206E-03 -0.78308E-04
  5  2  0.19753E-02 -0.68134E-03
  5  3 -0.13580E-02 -0.19591E-02
  5  4 -0.32300E-02 -0.34178E-02
  5  5  0.61857E-03 -0.17440E-02
  6  0 -0.27550E-03
  6  1 -0.23699E-03  0.15414E-02
  6  2  0.10767E-02  0.78269E-03
  6  3 -0.72092E-03 -0.14530E-03
  6  4 -0.75613E-04  0.21687E-03
  6  5  0.83358E-03  0.15572E-02
  6  6  0.12160E-03  0.69896E-03
  7  0  0.17107E-02
  7  1 -0.10676E-02 -0.36992E-03
  7  2 -0.25594E-03  0.41577E-03
  7  3 -0.17641E-02  0.12725E-03
  7  4  0.62051E-03  0.11815E-02
  7  5 -0.75494E-03  0.15701E-02
  7  6  0.10197E-03 -0.11944E-02
  7  7 -0.58777E-03  0.14477E-02
  8  0  0.15375E-03
  8  1 -0.67628E-03  0.40356E-04
  8  2  0.28890E-02  0.27496E-03
  8  3  0.78609E-03  0.44263E-03
  8  4 -0.78417E-03 -0.53528E-03
  8  5 -0.72795E-03  0.14477E-02
  8  6  0.98288E-03 -0.67468E-03
  8  7 -0.97932E-03  0.46620E-03
  8  8  0.95380E-03 -0.58791E-03
  9  0 -0.16476E-03
  9  1 -0.14666E-03  0.39479E-03
  9  2  0.10454E-02  0.18573E-03
  9  3  0.22368E-02 -0.27009E-03
  9  4 -0.20655E-03  0.41361E-03
  9  5 -0.38794E-03 -0.39720E-04
  9  6  0.12631E-02  0.72959E-03
  9  7 -0.10304E-03 -0.19351E-02
  9  8  0.78843E-03 -0.36281E-03
  9  9  0.45112E-03 -0.17739E-04
 10  0  0.54740E-03
 10  1 -0.11076E-02  0.15567E-03
 10  2 -0.19921E-03 -0.24665E-03
 10  3  0.10687E-02 -0.88719E-04
 10  4  0.24028E-05 -0.88446E-04
 10  5 -0.46882E-03  0.95052E-05
 10  6 -0.69833E-05 -0.11534E-03
 10  7  0.65327E-03 -0.67464E-03
 10  8 -0.16825E-04 -0.20160E-03
 10  9 -0.10390E-04 -0.41556E-03
 10 10  0.81042E-03 -0.39050E-03
 11  0  0.52600E-03
 11  1  0.40362E-03 -0.18289E-03
 11  2  0.11591E-02 -0.17461E-02
 11  3  0.82830E-03 -0.12874E-03
 11  4  0.11388E-02  0.94393E-03
 11  5  0.42872E-03  0.36510E-03
 11  6 -0.28831E-03 -0.36135E-03
 11  7  0.12178E-02 -0.90186E-03
 11  8 -0.24368E-04  0.12960E-03
 11  9  0.88067E-03  0.11566E-02
 11 10 -0.10760E-02  0.13774E-03
 11 11  0.10459E-02  0.98971E-03
 12  0  0.85327E-03
 12  1  0.55020E-03  0.47002E-03
 12  2 -0.23779E-03 -0.68876E-03
 12  3  0.43135E-03  0.33396E-03
 12  4  0.78662E-03  0.13707E-02
 12  5 -0.54095E-03 -0.69584E-03
 12  6  0.37355E-03  0.14947E-03
 12  7  0.52000E-04  0.27732E-03
 12  8  0.75817E-03 -0.65092E-03
 12  9 -0.11246E-02  0.81641E-03
 12 10 -0.46588E-03  0.12646E-02
 12 11 -0.13055E-02  0.14197E-02
 12 12  0.55078E-03 -0.93269E-03
3
  0  0  0.33893E-01
  1  0  0.93509E-03
  1  1  0.26675E-02 -0.25474E-02
  2  0 -0.39937E-02
  2  1  0.21789E-02 -0.13851E-02
  2  2  0.62587E-03 -0.66784E-03
  3  0  0.11363E-02
  3  1 -0.24366E-02  0.67234E-03
  3  2  0.18651E-02  0.14406E-02
  3  3 -0.59589E-03 -0.62580E-03
  4  0 -0.81519E-03
  4  1 -0.85013E-03  0.19320E-02
  4  2  0.13792E-02  0.25757E-02
  4  3  0.62072E-04  0.19350E-02
  4  4  0.27127E-02 -0.43910E-03
  5  0  0.40236E-03
  5  1  0.15555E-02 -0.39944E-03
  5  2  0.24498E-02 -0.94994E-03
  5  3 -0.16843E-02  0.17502E-03
  5  4 -0.42855E-03 -0.22502E-02
  5  5  0.52062E-03  0.83018E-03
  6  0 -0.10676E-02
  6  1  0.12832E-02 -0.94184E-05
  6  2 -0.39950E-03 -0.31912E-03
  6  3  0.11455E-02 -0.17212E-02
  6  4  0.23035E-02  0.27254E-03
  6  5  0.10670E-02 -0.94528E-03
  6  6 -0.60242E-03 -0.27638E-03
  7  0  0.10977E-02
  7  1  0.30263E-03 -0.18124E-02
  7  2  0.26142E-03 -0.31272E-03
  7  3 -0.26721E-03 -0.90700E-03
  7  4  0.10199E-02 -0.68745E-03
  7  5  0.16452E-02 -0.47179E-03
  7  6  0.34453E-03 -0.11369E-02
  7  7 -0.10254E-02  0.51209E-03
  8  0  0.11681E-02
  8  1  0.99323E-04 -0.67924E-04
  8  2  0.59292E-04 -0.37380E-03
  8  3  0.16067E-02 -0.63953E-04
  8  4 -0.65872E-03 -0.35629E-04
  8  5  0.70541E-03 -0.15413E-02
  8  6  0.79101E-03  0.74439E-03
  8  7  0.31575E-03 -0.88928E-03
  8  8 -0.47560E-03  0.47246E-04
  9  0  0.10663E-02
  9  1  0.17856E-02 -0.42473E-03
  9  2  0.65734E-03 -0.33835E-03
  9  3  0.66393E-03 -0.71971E-03
  9  4  0.11182E-02 -0.81994E-03
  9  5 -0.11395E-03  0.43776E-03
  9  6  0.17701E-02 -0.12751E-02
  9  7 -0.18122E-03 -0.19530E-03
  9  8 -0.62988E-03 -0.19592E-02
  9  9 -0.19180E-03  0.10248E-02
 10  0  0.44465E-03
 10  1 -0.47257E-03  0.76509E-03
 10  2  0.10606E-02 -0.13776E-03
 10  3 -0.37968E-03 -0.99444E-04
 10  4 -0.61321E-03 -0.36947E-03
 10  5  0.38303E-03  0.76794E-03
 10  6  0.22834E-03 -0.53229E-03
 10  7  0.86221E-03 -0.45673E-03
 10  8 -0.13670E-02 -0.43439E-03
 10  9 -0.90592E-03 -0.81612E-04
 10 10  0.15785E-03 -0.72408E-03
 11  0  0.11884E-02
 11  1 -0.21330E-02  0.62898E-03
 11  2  0.57877E-03 -0.19096E-04
 11  3  0.16204E-03  0.28931E-03
 11  4 -0.27669E-03  0.46648E-03
 11  5 -0.22653E-03  0.66360E-03
 11  6  0.57167E-03 -0.58211E-03
 11  7  0.11153E-02 -0.50411E-03
 11  8 -0.11530E-03  0.41112E-04
 11  9 -0.88356E-03 -0.33112E-03
 11 10 -0.53615E-04 -0.21672E-03
 11 11  0.10518E-03  0.43708E-04
 12  0  0.98578E-03
 12  1 -0.12906E-02 -0.22282E-03
 12  2 -0.13552E-02 -0.30478E-03
 12  3 -0.16707E-03  0.58718E-03
 12  4  0.44798E-04  0.52963E-03
 12  5 -0.15685E-03  0.30378E-03
 12  6  0.57559E-03  0.60771E-03
 12  7  0.94800E-03  0.32786E-03
 12  8  0.52195E-03  0.45107E-03
 12  9 -0.68011E-03 -0.69757E-04
 12 10 -0.48928E-04  0.38802E-03
 12 11 -0.19342E-03  0.75045E-03
 12 12  0.82463E-03 -0.14557E-03
4
  0  0  0.14618E-01
  1  0 -0.23232E-02
  1  1  0.14979E-02 -0.26661E-03
  2  0 -0.10494E-02
  2  1  0.24421E-03  0.88883E-03
  2  2 -0.10518E-02 -0.48025E-04
  3  0 -0.39573E-03
  3  1 -0.82121E-03  0.39926E-04
  3  2  0.60927E-03  0.10974E-03
  3  3  0.13434E-03  0.49584E-03
  4  0  0.45291E-03
  4  1 -0.94272E-03 -0.12920E-03
  4  2  0.11715E-02  0.12078E-02
  4  3  0.10272E-02  0.46765E-03
  4  4 -0.26268E-03  0.26844E-03
  5  0  0.54105E-03
  5  1  0.52329E-03 -0.12653E-02
  5  2  0.30263E-03 -0.33819E-03
  5  3 -0.44362E-03 -0.32300E-03
  5  4 -0.10437E-02 -0.54464E-03
  5  5  0.13353E-02 -0.15082E-02
  6  0  0.46182E-03
  6  1 -0.16755E-03  0.57738E-03
  6  2  0.14527E-03 -0.73828E-03
  6  3  0.59031E-03 -0.27945E-03
  6  4  0.48090E-03  0.77777E-03
  6  5  0.85757E-03 -0.87664E-03
  6  6 -0.58600E-03  0.19005E-03
  7  0  0.60270E-03
  7  1  0.53758E-03 -0.29836E-03
  7  2  0.44445E-03  0.26998E-03
