X Y UC  LC  AVCRUST Topo   Basement UC/LC Moho
-24.875 34.375  5.48  6.73  6.31  -5.30 5.30  7.48  11.76
-24.625 34.375  5.49  6.73  6.30  -5.13 5.24  7.51  11.80
-24.375 34.375  5.49  6.73  6.31  -5.33 5.33  7.53  11.83
-24.125 34.375  5.47  6.73  6.29  -5.12 5.23  7.55  11.88
-23.875 34.375  5.47  6.73  6.29  -5.21 5.24  7.58  11.94
-23.625 34.375  5.44  6.71  6.28  -5.20 5.25  7.53  11.99
-23.375 34.375  5.43  6.71  6.28  -5.18 5.28  7.54  12.01
-23.125 34.375  5.43  6.71  6.27  -5.22 5.33  7.63  12.01
-22.875 34.375  5.47  6.73  6.30  -5.16 5.38  7.64  12.01
-22.625 34.375  5.48  6.73  6.30  -5.24 5.43  7.69  12.01
-22.375 34.375  5.47  6.73  6.30  -5.24 5.48  7.71  12.02
-22.125 34.375  5.47  6.73  6.30  -5.26 5.52  7.75  12.04
-21.875 34.375  5.47  6.73  6.29  -5.18 5.54  7.82  12.07
-21.625 34.375  5.48  6.73  6.29  -5.22 5.55  7.86  12.10
-21.375 34.375  5.48  6.74  6.30  -5.20 5.55  7.84  12.11
-21.125 34.375  5.48  6.74  6.30  -5.26 5.53  7.83  12.13
-20.875 34.375  5.47  6.74  6.29  -5.19 5.49  7.85  12.16
-20.625 34.375  5.47  6.74  6.29  -5.15 5.48  7.86  12.19
-20.375 34.375  5.47  6.74  6.29  -5.20 5.53  7.90  12.21
-20.125 34.375  5.47  6.74  6.29  -5.24 5.62  7.97  12.26
-19.875 34.375  5.48  6.73  6.29  -5.26 5.71  8.04  12.32
-19.625 34.375  5.48  6.74  6.29  -5.21 5.75  8.11  12.36
-19.375 34.375  5.47  6.73  6.30  -4.99 5.75  8.01  12.36
-19.125 34.375  5.48  6.73  6.30  -4.92 5.72  7.99  12.31
-18.875 34.375  5.48  6.74  6.29  -4.90 5.68  8.03  12.25
-18.625 34.375  5.48  6.74  6.29  -4.97 5.61  7.96  12.19
-18.375 34.375  5.48  6.75  6.29  -4.89 5.48  7.88  12.11
-18.125 34.375  5.48  6.75  6.29  -4.78 5.30  7.71  11.94
-17.875 34.375  5.48  6.75  6.29  -4.63 5.05  7.47  11.72
-17.625 34.375  5.48  6.75  6.29  -4.45 4.73  7.20  11.55
-17.375 34.375  5.48  6.75  6.29  -4.20 4.31  6.90  11.47
-17.125 34.375  5.48  6.75  6.29  -3.48 3.89  6.61  11.39
-16.875 34.375  5.49  6.75  6.29  -3.16 3.64  6.44  11.30
-16.625 34.375  5.5 6.75  6.30  -3.84 3.84  6.50  11.22
-16.375 34.375  5.51  6.75  6.31  -4.07 4.07  6.61  11.18
-16.125 34.375  5.52  6.75  6.28  -3.88 3.98  6.70  11.11
-15.875 34.375  5.55  6.75  6.28  -3.98 4.08  6.80  11.03
-15.625 34.375  5.56  6.75  6.30  -3.88 4.15  6.73  10.98
-15.375 34.375  5.58  6.75  6.30  -4.06 4.17  6.79  10.97
-15.125 34.375  5.6 6.75  6.30  -3.92 4.11  6.81  11.02
-14.875 34.375  5.62  6.75  6.29  -3.89 3.96  6.86  11.08
-14.625 34.375  5.63  6.75  6.29  -3.70 3.87  6.86  11.15
-14.375 34.375  5.64  6.75  6.29  -3.70 4.03  7.03  11.27
-14.125 34.375  5.65  6.75  6.29  -4.17 4.45  7.43  11.58
