-8180 153 0 255
-7200 136 17 255
-7000 119 34 255
-6700 102 51 255
-6300 85 68 255
-6000 68 85 255
-5800 51 102 255
-5500 34 119 255
-5000 17 136 255
-4500 0 153 255
-4000 27 164 255
-3500 54 175 255
-3000 81 186 255
-2500 108 197 255
-2000 134 208 255
-1500 161 219 255
-1000 188 230 255
-500 215 241 255
-200 241 252 255
-198 241 252 255
-1 241 252 255
0 51 102 0
1 51 102 0
98 51 204 102
100 51 204 102
200 187 228 146
500 255 220 185
1000 243 202 137
1500 230 184 88
2000 217 166 39
2500 168 154 31
3000 164 144 25
3500 162 134 19
4000 159 123 13
4500 156 113 7
5000 153 102 0
5500 162 89 89
5606 178 118 118
